Transaction Date,Year,Month,Month_Name,Day,Day_Of_Week
2022-01-01,2022,1,January,1,Saturday
2022-01-02,2022,1,January,2,Sunday
2022-01-03,2022,1,January,3,Monday
2022-01-04,2022,1,January,4,Tuesday
2022-01-05,2022,1,January,5,Wednesday
2022-01-06,2022,1,January,6,Thursday
2022-01-07,2022,1,January,7,Friday
2022-01-08,2022,1,January,8,Saturday
2022-01-09,2022,1,January,9,Sunday
2022-01-10,2022,1,January,10,Monday
2022-01-11,2022,1,January,11,Tuesday
2022-01-12,2022,1,January,12,Wednesday
2022-01-13,2022,1,January,13,Thursday
2022-01-14,2022,1,January,14,Friday
2022-01-15,2022,1,January,15,Saturday
2022-01-16,2022,1,January,16,Sunday
2022-01-17,2022,1,January,17,Monday
2022-01-18,2022,1,January,18,Tuesday
2022-01-19,2022,1,January,19,Wednesday
2022-01-20,2022,1,January,20,Thursday
2022-01-21,2022,1,January,21,Friday
2022-01-22,2022,1,January,22,Saturday
2022-01-23,2022,1,January,23,Sunday
2022-01-24,2022,1,January,24,Monday
2022-01-25,2022,1,January,25,Tuesday
2022-01-26,2022,1,January,26,Wednesday
2022-01-27,2022,1,January,27,Thursday
2022-01-28,2022,1,January,28,Friday
2022-01-29,2022,1,January,29,Saturday
2022-01-30,2022,1,January,30,Sunday
2022-01-31,2022,1,January,31,Monday
2022-02-01,2022,2,February,1,Tuesday
2022-02-02,2022,2,February,2,Wednesday
2022-02-03,2022,2,February,3,Thursday
2022-02-04,2022,2,February,4,Friday
2022-02-05,2022,2,February,5,Saturday
2022-02-06,2022,2,February,6,Sunday
2022-02-07,2022,2,February,7,Monday
2022-02-08,2022,2,February,8,Tuesday
2022-02-09,2022,2,February,9,Wednesday
2022-02-10,2022,2,February,10,Thursday
2022-02-11,2022,2,February,11,Friday
2022-02-12,2022,2,February,12,Saturday
2022-02-13,2022,2,February,13,Sunday
2022-02-14,2022,2,February,14,Monday
2022-02-15,2022,2,February,15,Tuesday
2022-02-16,2022,2,February,16,Wednesday
2022-02-17,2022,2,February,17,Thursday
2022-02-18,2022,2,February,18,Friday
2022-02-19,2022,2,February,19,Saturday
2022-02-20,2022,2,February,20,Sunday
2022-02-21,2022,2,February,21,Monday
2022-02-22,2022,2,February,22,Tuesday
2022-02-23,2022,2,February,23,Wednesday
2022-02-24,2022,2,February,24,Thursday
2022-02-25,2022,2,February,25,Friday
2022-02-26,2022,2,February,26,Saturday
2022-02-27,2022,2,February,27,Sunday
2022-02-28,2022,2,February,28,Monday
2022-03-01,2022,3,March,1,Tuesday
2022-03-02,2022,3,March,2,Wednesday
2022-03-03,2022,3,March,3,Thursday
2022-03-04,2022,3,March,4,Friday
2022-03-05,2022,3,March,5,Saturday
2022-03-06,2022,3,March,6,Sunday
2022-03-07,2022,3,March,7,Monday
2022-03-08,2022,3,March,8,Tuesday
2022-03-09,2022,3,March,9,Wednesday
2022-03-10,2022,3,March,10,Thursday
2022-03-11,2022,3,March,11,Friday
2022-03-12,2022,3,March,12,Saturday
2022-03-13,2022,3,March,13,Sunday
2022-03-14,2022,3,March,14,Monday
2022-03-15,2022,3,March,15,Tuesday
2022-03-16,2022,3,March,16,Wednesday
2022-03-17,2022,3,March,17,Thursday
2022-03-18,2022,3,March,18,Friday
2022-03-19,2022,3,March,19,Saturday
2022-03-20,2022,3,March,20,Sunday
2022-03-21,2022,3,March,21,Monday
2022-03-22,2022,3,March,22,Tuesday
2022-03-23,2022,3,March,23,Wednesday
2022-03-24,2022,3,March,24,Thursday
2022-03-25,2022,3,March,25,Friday
2022-03-26,2022,3,March,26,Saturday
2022-03-27,2022,3,March,27,Sunday
2022-03-28,2022,3,March,28,Monday
2022-03-29,2022,3,March,29,Tuesday
2022-03-30,2022,3,March,30,Wednesday
2022-03-31,2022,3,March,31,Thursday
2022-04-01,2022,4,April,1,Friday
2022-04-02,2022,4,April,2,Saturday
2022-04-03,2022,4,April,3,Sunday
2022-04-04,2022,4,April,4,Monday
2022-04-05,2022,4,April,5,Tuesday
2022-04-06,2022,4,April,6,Wednesday
2022-04-07,2022,4,April,7,Thursday
2022-04-08,2022,4,April,8,Friday
2022-04-09,2022,4,April,9,Saturday
2022-04-10,2022,4,April,10,Sunday
2022-04-11,2022,4,April,11,Monday
2022-04-12,2022,4,April,12,Tuesday
2022-04-13,2022,4,April,13,Wednesday
2022-04-14,2022,4,April,14,Thursday
2022-04-15,2022,4,April,15,Friday
2022-04-16,2022,4,April,16,Saturday
2022-04-17,2022,4,April,17,Sunday
2022-04-18,2022,4,April,18,Monday
2022-04-19,2022,4,April,19,Tuesday
2022-04-20,2022,4,April,20,Wednesday
2022-04-21,2022,4,April,21,Thursday
2022-04-22,2022,4,April,22,Friday
2022-04-23,2022,4,April,23,Saturday
2022-04-24,2022,4,April,24,Sunday
2022-04-25,2022,4,April,25,Monday
2022-04-26,2022,4,April,26,Tuesday
2022-04-27,2022,4,April,27,Wednesday
2022-04-28,2022,4,April,28,Thursday
2022-04-29,2022,4,April,29,Friday
2022-04-30,2022,4,April,30,Saturday
2022-05-01,2022,5,May,1,Sunday
2022-05-02,2022,5,May,2,Monday
2022-05-03,2022,5,May,3,Tuesday
2022-05-04,2022,5,May,4,Wednesday
2022-05-05,2022,5,May,5,Thursday
2022-05-06,2022,5,May,6,Friday
2022-05-07,2022,5,May,7,Saturday
2022-05-08,2022,5,May,8,Sunday
2022-05-09,2022,5,May,9,Monday
2022-05-10,2022,5,May,10,Tuesday
2022-05-11,2022,5,May,11,Wednesday
2022-05-12,2022,5,May,12,Thursday
2022-05-13,2022,5,May,13,Friday
2022-05-14,2022,5,May,14,Saturday
2022-05-15,2022,5,May,15,Sunday
2022-05-16,2022,5,May,16,Monday
2022-05-17,2022,5,May,17,Tuesday
2022-05-18,2022,5,May,18,Wednesday
2022-05-19,2022,5,May,19,Thursday
2022-05-20,2022,5,May,20,Friday
2022-05-21,2022,5,May,21,Saturday
2022-05-22,2022,5,May,22,Sunday
2022-05-23,2022,5,May,23,Monday
2022-05-24,2022,5,May,24,Tuesday
2022-05-25,2022,5,May,25,Wednesday
2022-05-26,2022,5,May,26,Thursday
2022-05-27,2022,5,May,27,Friday
2022-05-28,2022,5,May,28,Saturday
2022-05-29,2022,5,May,29,Sunday
2022-05-30,2022,5,May,30,Monday
2022-05-31,2022,5,May,31,Tuesday
2022-06-01,2022,6,June,1,Wednesday
2022-06-02,2022,6,June,2,Thursday
2022-06-03,2022,6,June,3,Friday
2022-06-04,2022,6,June,4,Saturday
2022-06-05,2022,6,June,5,Sunday
2022-06-06,2022,6,June,6,Monday
2022-06-07,2022,6,June,7,Tuesday
2022-06-08,2022,6,June,8,Wednesday
2022-06-09,2022,6,June,9,Thursday
2022-06-10,2022,6,June,10,Friday
2022-06-11,2022,6,June,11,Saturday
2022-06-12,2022,6,June,12,Sunday
2022-06-13,2022,6,June,13,Monday
2022-06-14,2022,6,June,14,Tuesday
2022-06-15,2022,6,June,15,Wednesday
2022-06-16,2022,6,June,16,Thursday
2022-06-17,2022,6,June,17,Friday
2022-06-18,2022,6,June,18,Saturday
2022-06-19,2022,6,June,19,Sunday
